IBOV - Carteira do Dia 23/11/23
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,351;
ALOS3;ALLOS;ON      NM;532.616.595;0,611;
ALPA4;ALPARGATAS;PN  ATZ N1;208.965.950;0,090;
ABEV3;AMBEV S/A;ON;4.394.245.879;2,735;
ARZZ3;AREZZO CO;ON  EDJ NM;62.305.891;0,174;
ASAI3;ASSAI;ON      NM;1.349.645.897;0,803;
AZUL4;AZUL;PN      N2;327.593.725;0,261;
B3SA3;B3;ON      NM;5.694.552.584;3,402;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,987;
BBDC3;BRADESCO;ON      N1;1.500.728.902;0,960;
BBDC4;BRADESCO;PN      N1;5.146.576.868;3,714;
BRAP4;BRADESPAR;PN  EDJ N1;251.003.438;0,285;
BBAS3;BRASIL;ON  EDJ NM;1.420.949.112;3,314;
BRKM5;BRASKEM;PNA ATZ N1;265.479.055;0,245;
BRFS3;BRF SA;ON      NM;1.677.525.446;1,093;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,759;
CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,271;
BHIA3;CASAS BAHIA;ON      NM;2.361.578.440;0,062;
CCRO3;CCR SA;ON      NM;995.335.937;0,601;
CMIG4;CEMIG;PN      N1;1.437.415.777;0,748;
CIEL3;CIELO;ON      NM;1.095.462.329;0,192;
COGN3;COGNA ON;ON  ATZ NM;1.815.524.541;0,248;
CPLE6;COPEL;PNB     N2;1.679.335.290;0,718;
CSAN3;COSAN;ON      NM;1.168.097.881;0,968;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,314;
CMIN3;CSNMINERACAO;ON  ED  N2;1.110.559.345;0,359;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,062;
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,246;
DXCO3;DEXCO;ON      NM;303.055.637;0,102;
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,675;
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,550;
EMBR3;EMBRAER;ON      NM;734.632.705;0,677;
ENGI11;ENERGISA;UNT     N2;290.435.910;0,690;
ENEV3;ENEVA;ON      NM;1.578.931.315;0,952;
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,515;
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,736;
EZTC3;EZTEC;ON  ED  NM;91.514.307;0,073;
FLRY3;FLEURY;ON      NM;345.269.967;0,269;
GGBR4;GERDAU;PN  ED  N1;1.118.525.506;1,196;
GOAU4;GERDAU MET;PN  ED  N1;660.411.219;0,327;
GOLL4;GOL;PN      N2;198.184.909;0,081;
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,616;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,152;
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,904;
HYPE3;HYPERA;ON      NM;409.490.388;0,645;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,218;
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,176;
ITSA4;ITAUSA;PN      N1;5.197.306.576;2,360;
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;6,804;
JBSS3;JBS;ON      NM;1.134.986.472;1,154;
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,759;
RENT3;LOCALIZA;ON      NM;852.600.726;2,354;
LWSA3;LOCAWEB;ON      NM;425.161.586;0,119;
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,654;
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,274;
MRFG3;MARFRIG;ON      NM;292.587.273;0,119;
BEEF3;MINERVA;ON      NM;261.036.182;0,085;
MRVE3;MRV;ON      NM;376.187.582;0,167;
MULT3;MULTIPLAN;ON      N2;266.965.257;0,328;
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,027;
PETR3;PETROBRAS;ON  EDJ N2;2.585.311.860;4,470;
PETR4;PETROBRAS;PN  EDJ N2;4.566.445.852;7,365;
RECV3;PETRORECSA;ON      NM;274.957.807;0,248;
PRIO3;PETRORIO;ON  ATZ NM;798.274.909;1,730;
PETZ3;PETZ;ON      NM;329.077.188;0,063;
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,646;
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,200;
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,386;
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,267;
SBSP3;SABESP;ON      NM;340.001.799;1,029;
SANB11;SANTANDER BR;UNT;342.918.449;0,488;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,216;
CSNA3;SID NACIONAL;ON  ED;600.865.451;0,442;
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,177;
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,675;
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,367;
VIVT3;TELEF BRASIL;ON;423.091.712;0,996;
TIMS3;TIM;ON      NM;807.896.814;0,620;
TOTS3;TOTVS;ON      NM;514.122.351;0,788;
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,222;
USIM5;USIMINAS;PNA     N1;515.117.391;0,186;
VALE3;VALE;ON  EDJ NM;4.427.123.466;15,201;
VAMO3;VAMOS;ON      NM;421.383.330;0,188;
VBBR3;VIBRA;ON      NM;1.114.412.532;1,124;
WEGE3;WEG;ON      NM;1.481.593.024;2,318;
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,257;
Quantidade Teórica Total;;;98.476.454.882;100,000
Redutor;;;17.296.543,15817642
